保定	115.47105	38.880045
张家口	114.892592	40.774341
承德	117.969493	40.959115
沧州	116.848904	38.309946
廊坊	116.690152	39.543952
衡水	115.675944	37.745273
郑州	113.631768	34.753427
开封	114.314164	34.802756
平顶山	113.198925	33.772307
洛阳	112.460445	34.624379
焦作	113.248557	35.221493
鹤壁	114.303874	35.752667
新乡	113.933871	35.308964
济源	112.609183	35.073092
安阳	114.3995	36.103636
濮阳	115.035917	35.767582
商丘	115.662797	34.420321
周口	114.703642	33.631957
许昌	113.858331	34.042261
漯河	114.02323	33.587699
驻马店	114.028713	33.019078
信阳	114.099264	32.153182
南阳	112.535007	32.996696
三门峡	111.206832	34.778439
哈尔滨	126.541745	45.808985
齐齐哈尔	123.924531	47.360082
鹤岗	130.304432	47.356071
双鸭山	131.165482	46.653531
大庆	125.110456	46.594889
伊春	128.847685	47.733349
绥化	126.974956	46.66023
黑河	127.534755	50.251167
鸡西	130.976161	45.300902
佳木斯	130.326829	46.806
七台河	131.009498	45.776929
牡丹江	129.640285	44.558309
大兴安岭地区	124.716543	52.340325
武汉	114.311831	30.598426
黄石	115.045433	30.205332
十堰	110.8046	32.635498
宜昌	111.29298	30.69766
孝感	113.962364	30.923379
黄冈	114.878882	30.459375
咸宁	114.328967	29.847117
荆门	112.205843	31.041785
襄阳	112.128326	32.014809
鄂州	114.901557	30.396519
荆州	112.245984	30.340783
随州	113.386331	31.695992
恩施土家族苗族自治州	109.494765	30.277888
仙桃	113.429363	30.367646
潜江	112.906102	30.408386
天门	113.172529	30.669755
长沙	112.945393	28.234248
株洲	113.140431	27.83373
湘潭	112.950575	27.835846
衡阳	112.578467	26.899509
邵阳	111.474293	27.245154
岳阳	113.135152	29.362762
郴州	113.021311	25.776709
永州	111.619866	26.425866
娄底	112.001081	27.70319
怀化	110.008313	27.575606
常德	111.704994	29.037716
益阳	112.361737	28.560102
张家界	110.485702	29.122826
湘西土家族苗族自治州	109.745467	28.317523
长春	125.330097	43.822402
吉林	126.556073	43.843511
通化	125.946506	41.733903
四平	124.356844	43.172442
辽源	125.150425	42.894353
白城	122.845222	45.625487
白山	126.429539	41.939256
松原	124.831261	45.147714
延边朝鲜族自治州	129.515473	42.897232
南京	118.802962	32.064792
徐州	117.290616	34.212506
连云港	119.228231	34.602387
南通	120.900881	31.98643
苏州	120.591427	31.307026
无锡	120.313232	31.579529
常州	119.98061	31.81668
宿迁	118.282062	33.967683
淮安	119.121078	33.554723
盐城	120.168584	33.354711
扬州	119.419799	32.399962
泰州	119.929545	32.461918
镇江	119.431414	32.194854
南昌	115.864758	28.68833
景德镇	117.184966	29.274333
萍乡	113.861018	27.628699
九江	115.959851	29.667088
上饶	117.950028	28.460857
鹰潭	117.075765	28.265877
宜春	114.423253	27.821007
新余	114.923887	27.823587
抚州	116.364489	27.955074
吉安	114.972603	27.096847
赣州	114.94126	25.837178
沈阳	123.471844	41.683611
大连	121.621331	38.919658
抚顺	123.963986	41.887046
本溪	123.692189	41.492928
锦州	121.133449	41.101429
丹东	124.361014	40.006688
阜新	121.676518	42.027978
营口	122.226413	40.631056
辽阳	123.244792	41.274927
铁岭	123.732205	42.229843
朝阳	120.4573	41.579481
鞍山	123.000764	41.114828
盘锦	122.076498	41.164663
葫芦岛	120.843388	40.71736
呼和浩特	111.755186	40.848657
包头	109.846755	40.663633
乌海	106.80059	39.662096
通辽	122.249677	43.659999
赤峰	118.893684	42.26387
鄂尔多斯	109.787493	39.61474
呼伦贝尔	119.77221	49.217975
巴彦淖尔	107.394129	40.749423
乌兰察布	113.138484	41.000889
兴安盟	122.044065	46.088851
锡林郭勒盟	116.054141	43.939524
阿拉善盟	105.735357	38.857803
银川	106.238976	38.492391
石嘴山	106.390781	38.989781
吴忠	106.205181	38.004019
中卫	105.203362	37.505725
固原	106.249201	36.021608
西宁	101.784461	36.62336
海东	102.110763	36.508515
海北藏族自治州	100.907395	36.960696
黄南藏族自治州	102.021685	35.525771
海南藏族自治州	100.626891	36.292303
果洛藏族自治州	100.251341	34.477201
玉树藏族自治州	97.098471	33.018003
海西蒙古族藏族自治州	97.376359	37.382907
济南	117.126488	36.65819
青岛	120.388969	36.073179
淄博	118.061253	36.819179
枣庄	117.330154	34.815974
东营	118.681045	37.43999
德州	116.365633	37.441322
滨州	117.977153	37.388154
潍坊	119.168158	36.713207
烟台	121.454425	37.469868
威海	122.127927	37.518857
临沂	118.364237	35.110174
日照	119.533325	35.422765
泰安	117.09352	36.206025
莱芜	117.68322	36.219354
济宁	116.593803	35.420956
聊城	115.991887	36.462676
菏泽		
太原	112.555135	37.876812
大同	113.306205	40.082539
阳泉	113.587086	37.862341
长治	113.124202	36.200987
晋城	112.858338	35.496515
临汾	111.52553	36.093757
运城	111.004547	35.02137
朔州	112.439232	39.337853
晋中	112.759366	37.693152
忻州	112.740834	38.422099
吕梁	111.151114	37.524466
西安	108.946167	34.347652
铜川	108.951552	34.902952
宝鸡	107.245043	34.368707
榆林	109.741195	38.290882
延安	109.496361	36.590999
咸阳	108.715692	34.336229
渭南	109.498947	34.503882
安康	109.03593	32.690514
汉中	107.02971	33.072637
商洛	109.92524	33.878721
上海	121.480237	31.2363
成都	104.07214	30.578832
绵阳	104.76349	31.461418
遂宁	105.599142	30.539152
德阳	104.404237	31.133085
内江	105.064878	29.585821
资阳	104.634295	30.134784
宜宾	104.649212	28.75888
泸州	105.448778	28.877674
广安	106.639752	30.461967
巴中	106.75419	31.873342
雅安	103.048945	30.016413
自贡	104.784871	29.345353
攀枝花	101.725281	26.588246
广元	105.849862	32.441794
乐山	103.77193	29.558138
南充	106.117134	30.843876
眉山	103.85507	30.081375
达州	107.474504	31.214344
阿坝藏族羌族自治州	102.231186	31.905602
甘孜藏族自治州	101.968756	30.055081
凉山彝族自治州	102.273865	27.887806
天津	117.207137	39.089475
日喀则	88.887724	29.272915
拉萨	91.17849	29.658434
昌都	97.178747	31.146731
山南	91.765866	29.237425
那曲	92.0578	31.482368
阿里	81.816089	31.587604
林芝	94.368122	29.654785
乌鲁木齐	87.623193	43.831481
克拉玛依	84.89587	45.585762
吐鲁番地区	89.196029	42.9573
哈密地区	93.521899	42.824463
昌吉回族自治州	87.273865	44.020273
博尔塔拉蒙古自治州	82.072686	44.912244
巴音郭楞蒙古自治州	86.152302	41.770512
阿克苏地区	80.269698	41.173943
克孜勒苏柯尔克孜自治州	76.173156	39.721047
喀什地区	76.000363	39.474016
和田地区	79.919524	37.118037
伊犁哈萨克自治州	81.330806	43.922794
塔城地区	82.993651	46.757199
阿勒泰地区	88.139266	47.832918
石河子市	86.086822	44.310982
阿拉尔市	81.287224	40.553843
图木舒克市	79.075436	39.871158
五家渠市	87.549966	44.172303
昆明	102.839607	24.886079
昭通	103.723311	27.344057
曲靖	103.802568	25.496326
玉溪	102.533991	24.352997
普洱	100.97281	22.830982
丽江	100.232887	26.860865
保山	99.168333	25.118021
临沧	100.09524	23.890344
楚雄彝族自治州	101.534573	25.051892
红河哈尼族彝族自治州	103.381879	23.369653
文山壮族苗族自治州	104.222129	23.406886
西双版纳傣族自治州	100.803465	22.015507
大理白族自治州	100.274223	25.6122
德宏傣族景颇族自治州	98.591429	24.438025
怒江傈僳族自治州	98.863184	25.823734
迪庆藏族自治州	99.709476	27.825264
杭州	120.162142	30.278988
宁波	121.630851	29.865707
温州	120.705869	28.000845
湖州	120.093291	30.900219
嘉兴	120.762075	30.752266
绍兴	120.586674	30.036526
丽水	119.929382	28.473669
金华	119.653907	29.085524
衢州	118.865666	28.975716
舟山	122.214339	29.991087
台州	121.427186	28.662336
重庆	106.558106	29.56911
香港	114.177553	22.283776
澳门	113.549685	22.192974

